# form	root	pos_cat	pos	language
بدأ	بدأ	فعل	فعل	فصحى
بدا	بدأ	فعل	فعل	فصحى

إيمان	أمن	اسم	مصدر	فصحى
ايمان	أمن	اسم	مصدر	فصحى
أمانة	أمن	اسم	مصدر	فصحى
امانة	أمن	اسم	مصدر	فصحى
أمن	أمن	اسم	مصدر	فصحى
امن	أمن	اسم	مصدر	فصحى
آمن	أمن	فعل	فعل	فصحى
امن	أمن	فعل	فعل	فصحى
يؤمن	أمن	فعل	فعل	فصحى
مؤمن	أمن	اسم	اسم فاعل	فصحى
مومن	أمن	اسم	اسم فاعل	فصحى
مؤمنة	أمن	اسم	اسم فاعل	فصحى
مومنة	أمن	اسم	اسم فاعل	فصحى
مؤمنون	أمن	اسم	جمع	فصحى
مومنون	أمن	اسم	جمع	فصحى
مؤمنين	أمن	اسم	جمع	فصحى
مومنين	أمن	اسم	جمع	فصحى
آمنون	أمن	اسم	جمع	فصحى
امنون	أمن	اسم	جمع	فصحى
أمين	أمن	اسم	صفة	فصحى
امين	أمن	اسم	صفة	فصحى
أمناء	أمن	اسم	جمع	فصحى
امناء	أمن	اسم	جمع	فصحى
مأمون	أمن	اسم	اسم مفعول	فصحى
مامون	أمن	اسم	اسم مفعول	فصحى

رئيس	رأس	اسم	صفة	فصحى
رؤساء	رأس	اسم	جمع	فصحى
رئيسة	رأس	اسم	صفة	فصحى
رئاسي	رأس	اسم	نسبة	فصحى
رئاسية	رأس	اسم	نسبة	فصحى
رئاسة	رأس	اسم	مصدر	فصحى
ترأس	رأس	فعل	فعل	فصحى
تراس	رأس	فعل	فعل	فصحى
يرأس	رأس	فعل	فعل	فصحى
يراس	رأس	فعل	فعل	فصحى
رأس	رأس	اسم	اسم	فصحى
راس	رأس	اسم	اسم	فصحى

شؤون	شأن	اسم	جمع	فصحى
شئون	شأن	اسم	جمع	فصحى
شأن	شأن	اسم	اسم	فصحى
شان	شأن	اسم	اسم	فصحى
شأني	شأن	اسم	نسبة	فصحى
شاني	شأن	اسم	نسبة	فصحى
شأنية	شأن	اسم	نسبة	فصحى
شانية	شأن	اسم	نسبة	فصحى

مآخذ	أخذ	اسم	جمع	فصحى
مأخذ	أخذ	اسم	اسم	فصحى
ماخذ	أخذ	اسم	اسم	فصحى
أخذ	أخذ	فعل	فعل	فصحى
اخذ	أخذ	فعل	فعل	فصحى
يأخذ	أخذ	فعل	فعل	فصحى
ياخذ	أخذ	فعل	فعل	فصحى
آخذ	أخذ	اسم	اسم فاعل	فصحى
اخذ	أخذ	اسم	اسم فاعل	فصحى
مأخوذ	أخذ	اسم	اسم مفعول	فصحى
ماخوذ	أخذ	اسم	اسم مفعول	فصحى

قراءة	قرأ	اسم	مصدر	فصحى
قراءه	قرأ	اسم	مصدر	فصحى
قرآن	قرأ	اسم	اسم	فصحى
قران	قرأ	اسم	اسم	فصحى
قارئ	قرأ	اسم	اسم فاعل	فصحى
قاري	قرأ	اسم	اسم فاعل	فصحى
قراء	قرأ	اسم	جمع	فصحى
قرّاء	قرأ	اسم	جمع	فصحى
مقروء	قرأ	اسم	اسم مفعول	فصحى
قرأ	قرأ	فعل	فعل	فصحى
قرا	قرأ	فعل	فعل	فصحى
يقرأ	قرأ	فعل	فعل	فصحى
يقرا	قرأ	فعل	فعل	فصحى
قرأوا	قرأ	فعل	فعل	فصحى
قراوا	قرأ	فعل	فعل	فصحى

رؤية	رأى	اسم	مصدر	فصحى
رؤيا	رأى	اسم	مصدر	فصحى
رأى	رأى	فعل	فعل	فصحى
راى	رأى	فعل	فعل	فصحى
يرى	رأى	فعل	فعل	فصحى
رأيت	رأى	فعل	فعل	فصحى
رايت	رأى	فعل	فعل	فصحى
مرئي	رأى	اسم	اسم مفعول	فصحى

أثر	أثر	اسم	اسم	فصحى
اثر	أثر	اسم	اسم	فصحى
آثار	أثر	اسم	جمع	فصحى
اثار	أثر	اسم	جمع	فصحى
تأثير	أثر	اسم	مصدر	فصحى
تاثير	أثر	اسم	مصدر	فصحى
مؤثر	أثر	اسم	اسم فاعل	فصحى
موثر	أثر	اسم	اسم فاعل	فصحى
متأثر	أثر	اسم	اسم فاعل	فصحى
متاثر	أثر	اسم	اسم فاعل	فصحى

أمر	أمر	اسم	اسم	فصحى
امر	أمر	اسم	اسم	فصحى
أمراء	أمر	اسم	جمع	فصحى
امراء	أمر	اسم	جمع	فصحى
أمور	أمر	اسم	جمع	فصحى
امور	أمر	اسم	جمع	فصحى
إمارة	أمر	اسم	اسم	فصحى
امارة	أمر	اسم	اسم	فصحى
أمير	أمر	اسم	صفة	فصحى
امير	أمر	اسم	صفة	فصحى

أفق	أفق	اسم	اسم	فصحى
افق	أفق	اسم	اسم	فصحى
آفاق	أفق	اسم	جمع	فصحى
افاق	أفق	اسم	جمع	فصحى

أصل	أصل	اسم	اسم	فصحى
اصل	أصل	اسم	اسم	فصحى
أصول	أصل	اسم	جمع	فصحى
اصول	أصل	اسم	جمع	فصحى
أصيل	أصل	اسم	صفة	فصحى
اصيل	أصل	اسم	صفة	فصحى
تأصيل	أصل	اسم	مصدر	فصحى
تاصيل	أصل	اسم	مصدر	فصحى
أسئلة	سأل	اسم	جمع	فصحى
اسئلة	سأل	اسم	جمع	فصحى
سؤال	سأل	اسم	مصدر	فصحى
سائل	سأل	اسم	اسم فاعل	فصحى
مسؤول	سأل	اسم	اسم مفعول	فصحى
مسئول	سأل	اسم	اسم مفعول	فصحى

قرأ	قرأ	فعل	فعل	فصحى
يقرأ	قرأ	فعل	فعل	فصحى
يقرا	قرأ	فعل	فعل	فصحى
قراءة	قرأ	اسم	مصدر	فصحى
قارئ	قرأ	اسم	اسم فاعل	فصحى
قاري	قرأ	اسم	اسم فاعل	فصحى
مقروء	قرأ	اسم	اسم مفعول	فصحى

بدأ	بدأ	فعل	فعل	فصحى
بدا	بدأ	فعل	فعل	فصحى
بداية	بدأ	اسم	مصدر	فصحى
مبتدأ	بدأ	اسم	اسم مفعول	فصحى

أخذ	أخذ	فعل	فعل	فصحى
اخذ	أخذ	فعل	فعل	فصحى
مأخوذ	أخذ	اسم	اسم مفعول	فصحى
ماخوذ	أخذ	اسم	اسم مفعول	فصحى

أكل	أكل	فعل	فعل	فصحى
اكل	أكل	فعل	فعل	فصحى
مأكول	أكل	اسم	اسم مفعول	فصحى
ماكول	أكل	اسم	اسم مفعول	فصحى

أكبر	كبر	اسم	اسم تفضيل	فصحى
اكبر	كبر	اسم	اسم تفضيل	فصحى
أطول	طول	اسم	اسم تفضيل	فصحى
اطول	طول	اسم	اسم تفضيل	فصحى

قال	قول	فعل	فعل	فصحى
قالوا	قول	فعل	فعل	فصحى
قلت	قول	فعل	فعل	فصحى
قلنا	قول	فعل	فعل	فصحى
يقول	قول	فعل	فعل	فصحى
يقولون	قول	فعل	فعل	فصحى

باع	بيع	فعل	فعل	فصحى
باعوا	بيع	فعل	فعل	فصحى
بعت	بيع	فعل	فعل	فصحى
بعنا	بيع	فعل	فعل	فصحى
يبيع	بيع	فعل	فعل	فصحى
يبيعون	بيع	فعل	فعل	فصحى

دعا	دعو	فعل	فعل	فصحى
دعت	دعو	فعل	فعل	فصحى
يدعو	دعو	فعل	فعل	فصحى
يدعون	دعو	فعل	فعل	فصحى

رما	رمي	فعل	فعل	فصحى
رميت	رمي	فعل	فعل	فصحى
يرمي	رمي	فعل	فعل	فصحى
يرمون	رمي	فعل	فعل	فصحى

سعى	سعي	فعل	فعل	فصحى
سعيت	سعي	فعل	فعل	فصحى
يسعى	سعي	فعل	فعل	فصحى
يسعون	سعي	فعل	فعل	فصحى

مد	مدد	فعل	فعل	فصحى
شد	شدد	فعل	فعل	فصحى
رد	ردد	فعل	فعل	فصحى
عد	عدد	فعل	فعل	فصحى
فر	فرر	فعل	فعل	فصحى
مر	مرر	فعل	فعل	فصحى
حل	حلل	فعل	فعل	فصحى
ضم	ضمم	فعل	فعل	فصحى
سر	سرر	فعل	فعل	فصحى

مصري	مصر	اسم	نسبة	فصحى
مصرية	مصر	اسم	نسبة	فصحى
المصري	مصر	اسم	نسبة	فصحى
عباسي	عباس	اسم	نسبة	فصحى
عباسية	عباس	اسم	نسبة	فصحى
العباسي	عباس	اسم	نسبة	فصحى
بغدادي	بغداد	اسم	نسبة	فصحى
شامي	شام	اسم	نسبة	فصحى
عراقي	عراق	اسم	نسبة	فصحى
حجازي	حجاز	اسم	نسبة	فصحى
أندلسي	اندلس	اسم	نسبة	فصحى
اندلسي	اندلس	اسم	نسبة	فصحى
كوفي	كوفة	اسم	نسبة	فصحى
بصري	بصرة	اسم	نسبة	فصحى
